Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
IMG/robocam_2018_02_19_17_06_35_520.jpg;0;1;0;0.3441552;99.73109;85.68631;1.222369;58.6354;0.0004283717
IMG/robocam_2018_02_19_17_06_35_569.jpg;0;1;0;0.4000028;99.74343;85.70617;1.097462;58.4819;0.001813535
IMG/robocam_2018_02_19_17_06_35_622.jpg;0;1;0;0.4503629;99.75262;85.72105;1.046542;58.46018;8.288323E-05
IMG/robocam_2018_02_19_17_06_35_676.jpg;0;1;0;0.4663997;99.76876;85.74718;1.049758;58.46962;-0.000687243
IMG/robocam_2018_02_19_17_06_35_724.jpg;0;1;0;0.5237556;99.78053;85.7663;1.078522;58.55391;-0.001040668
IMG/robocam_2018_02_19_17_06_35_774.jpg;0;1;0;0.5657104;99.79956;85.79719;1.14985;58.57492;-0.0004236904
IMG/robocam_2018_02_19_17_06_35_829.jpg;0;1;0;0.6012837;99.81966;85.8298;1.214185;58.56625;-0.0006355903
IMG/robocam_2018_02_19_17_06_35_879.jpg;0;1;0;0.6392114;99.83389;85.85295;1.244135;58.6491;-0.001931478
IMG/robocam_2018_02_19_17_06_35_930.jpg;0;1;0;0.6676911;99.8561;85.88906;1.234439;58.67519;-0.001200364
IMG/robocam_2018_02_19_17_06_35_978.jpg;0;1;0;0.7212821;99.87214;85.91512;1.233852;58.62419;-0.000253336
IMG/robocam_2018_02_19_17_06_36_040.jpg;0;1;0;0.7758619;99.89704;85.95558;1.205182;58.69144;-0.00206747
IMG/robocam_2018_02_19_17_06_36_081.jpg;0;1;0;0.8161019;99.91441;85.98393;1.187289;58.73022;-0.0006566395
IMG/robocam_2018_02_19_17_06_36_131.jpg;0;1;0;0.8417591;99.94233;86.02959;1.211028;58.81251;-0.0008974631
IMG/robocam_2018_02_19_17_06_36_182.jpg;0;1;0;0.9072487;99.96184;86.06152;1.228871;58.78555;-0.0008062811
IMG/robocam_2018_02_19_17_06_36_240.jpg;0;1;0;0.9405106;99.99235;86.11145;1.244895;58.77725;-0.0009073219
IMG/robocam_2018_02_19_17_06_36_282.jpg;0;1;0;0.9843371;100.0135;86.14598;1.244268;58.77247;-0.000909857
IMG/robocam_2018_02_19_17_06_36_335.jpg;0;1;0;1.016877;100.0463;86.19967;1.229157;58.76481;-0.0009008585
IMG/robocam_2018_02_19_17_06_36_382.jpg;0;1;0;1.07063;100.0689;86.23659;1.213532;58.7608;-0.0004283703
IMG/robocam_2018_02_19_17_06_36_436.jpg;0;1;0;1.094754;100.1043;86.29446;1.220444;58.78697;-0.001258641
IMG/robocam_2018_02_19_17_06_36_483.jpg;0;1;0;1.14219;100.1287;86.3344;1.225864;58.77663;-0.0005776834
IMG/robocam_2018_02_19_17_06_36_534.jpg;0;1;0;1.176848;100.1665;86.39608;1.225382;58.73975;-0.0007505318
IMG/robocam_2018_02_19_17_06_36_584.jpg;0;1;0;1.219375;100.1925;86.43864;1.228718;58.70837;-0.0006471225
IMG/robocam_2018_02_19_17_06_36_635.jpg;0;1;0;1.252427;100.2328;86.50439;1.232786;58.68818;-0.0009049695
IMG/robocam_2018_02_19_17_06_36_694.jpg;0;1;0;1.298381;100.2746;86.57259;1.237775;58.66282;-0.0008788448
IMG/robocam_2018_02_19_17_06_36_734.jpg;0;1;0;1.346335;100.3033;86.61936;1.23867;58.64859;-0.0007588352
IMG/robocam_2018_02_19_17_06_36_784.jpg;0;1;0;1.379899;100.3327;86.66726;1.244523;58.63764;-0.000897341
IMG/robocam_2018_02_19_17_06_36_837.jpg;0;1;0;1.409703;100.3781;86.741;1.246557;58.62409;-0.0008562174
IMG/robocam_2018_02_19_17_06_36_890.jpg;0;0.8415909;0;1.458168;100.4248;86.81687;1.245434;58.61042;-0.0009047869
IMG/robocam_2018_02_19_17_06_36_939.jpg;0;0.6850929;0;1.497367;100.4565;86.86846;1.245478;58.60578;-0.0005439823
IMG/robocam_2018_02_19_17_06_36_991.jpg;0;0.536407;0;1.518969;100.5048;86.94692;1.247744;58.5976;-0.0004434003
IMG/robocam_2018_02_19_17_06_37_046.jpg;0;0.3835179;0;1.541651;100.5536;87.0261;1.238774;58.58825;-0.0004183934
IMG/robocam_2018_02_19_17_06_37_092.jpg;0;0.2168171;0;1.556748;100.5862;87.07898;1.219973;58.58193;-0.0003683801
